date,asset1,holdings1,cash1,total asset1,return1,positions1,asset2,holdings2,cash2,total asset2,return2,positions2
2015-06-12,142.62930297851562,0.0,100000.0,100000.0,0.0,0.0,248.41119384765625,0.0,100000.0,100000.0,0.0,0.0
2015-06-15,138.79545593261722,0.0,100000.0,100000.0,0.0,0.0,244.79188537597656,0.0,100000.0,100000.0,0.0,0.0
2015-06-16,140.97964477539062,0.0,100000.0,100000.0,0.0,0.0,249.0470123291016,0.0,100000.0,100000.0,0.0,0.0
2015-06-17,139.63932800292972,0.0,100000.0,100000.0,0.0,0.0,249.5361175537109,0.0,100000.0,100000.0,0.0,0.0
2015-06-18,137.65370178222656,0.0,100000.0,100000.0,0.0,0.0,252.4706878662109,0.0,100000.0,100000.0,0.0,0.0
2015-06-19,141.0789337158203,0.0,100000.0,100000.0,0.0,0.0,254.47596740722656,0.0,100000.0,100000.0,0.0,0.0
2015-06-22,145.3480224609375,0.0,100000.0,100000.0,0.0,0.0,260.19839477539057,0.0,100000.0,100000.0,0.0,0.0
2015-06-23,149.22000122070312,0.0,100000.0,100000.0,0.0,0.0,261.91021728515625,0.0,100000.0,100000.0,0.0,0.0
2015-06-24,144.8516082763672,0.0,100000.0,100000.0,0.0,0.0,256.62799072265625,0.0,100000.0,100000.0,0.0,0.0
2015-06-25,143.9580841064453,0.0,100000.0,100000.0,0.0,0.0,259.0245361328125,0.0,100000.0,100000.0,0.0,0.0
2015-06-26,143.51132202148438,0.0,100000.0,100000.0,0.0,0.0,259.41583251953125,0.0,100000.0,100000.0,0.0,0.0
2015-06-29,143.06455993652344,0.0,100000.0,100000.0,0.0,0.0,253.98687744140625,0.0,100000.0,100000.0,0.0,0.0
2015-06-30,143.1141815185547,0.0,100000.0,100000.0,0.0,0.0,257.01925659179693,0.0,100000.0,100000.0,0.0,0.0
2015-07-01,149.22000122070312,0.0,100000.0,100000.0,0.0,0.0,261.91021728515625,0.0,100000.0,100000.0,0.0,0.0
2015-07-02,148.92214965820312,0.0,100000.0,100000.0,0.0,0.0,262.00802612304693,0.0,100000.0,100000.0,0.0,0.0
2015-07-03,149.71641540527344,0.0,100000.0,100000.0,0.0,0.0,263.52420043945307,0.0,100000.0,100000.0,0.0,0.0
2015-07-06,152.0495147705078,0.0,100000.0,100000.0,0.0,0.0,264.8936767578125,0.0,100000.0,100000.0,0.0,0.0
2015-07-07,152.54591369628906,0.0,100000.0,100000.0,0.0,0.0,266.9478759765625,0.0,100000.0,100000.0,0.0,0.0
2015-07-08,150.26246643066406,0.0,100000.0,100000.0,0.0,0.0,261.5189208984375,0.0,100000.0,100000.0,0.0,0.0
2015-07-09,151.8509521484375,0.0,100000.0,100000.0,0.0,0.0,261.91021728515625,0.0,100000.0,100000.0,0.0,0.0
2015-07-10,155.3258056640625,0.0,100000.0,100000.0,0.0,0.0,264.64910888671875,0.0,100000.0,100000.0,0.0,0.0
2015-07-13,155.22653198242188,0.0,100000.0,100000.0,0.0,0.0,267.73043823242193,0.0,100000.0,100000.0,0.0,0.0
2015-07-14,154.68048095703125,0.0,100000.0,100000.0,0.0,0.0,262.35040283203125,0.0,100000.0,100000.0,0.0,0.0
2015-07-15,155.27615356445312,0.0,100000.0,100000.0,0.0,0.0,262.20367431640625,0.0,100000.0,100000.0,0.0,0.0
2015-07-16,154.43228149414062,0.0,100000.0,100000.0,0.0,0.0,266.26315307617193,0.0,100000.0,100000.0,0.0,0.0
2015-07-17,155.1272430419922,0.0,100000.0,100000.0,0.0,0.0,265.1871337890625,0.0,100000.0,100000.0,0.0,0.0
2015-07-20,151.8509521484375,0.0,100000.0,100000.0,0.0,0.0,261.61676025390625,0.0,100000.0,100000.0,0.0,0.0
2015-07-21,149.61712646484375,0.0,100000.0,100000.0,0.0,0.0,258.53543090820307,0.0,100000.0,100000.0,0.0,0.0
2015-07-22,151.60275268554688,0.0,100000.0,100000.0,0.0,0.0,262.6927490234375,0.0,100000.0,100000.0,0.0,0.0
2015-07-23,151.6523895263672,0.0,100000.0,100000.0,0.0,0.0,264.1600341796875,0.0,100000.0,100000.0,0.0,0.0
2015-07-24,154.63084411621094,0.0,100000.0,100000.0,0.0,0.0,257.50833129882807,0.0,100000.0,100000.0,0.0,0.0
2015-07-27,151.20562744140625,0.0,100000.0,100000.0,0.0,0.0,252.81304931640625,0.0,100000.0,100000.0,0.0,0.0
2015-07-28,152.74449157714844,0.0,100000.0,100000.0,0.0,0.0,253.5467071533203,0.0,100000.0,100000.0,0.0,0.0
2015-07-29,152.09915161132812,0.0,100000.0,100000.0,0.0,0.0,248.0688323974609,0.0,100000.0,100000.0,0.0,0.0
2015-07-30,167.3885040283203,0.0,100000.0,100000.0,0.0,0.0,251.1990203857422,0.0,100000.0,100000.0,0.0,0.0
2015-07-31,176.22454833984375,0.0,100000.0,100000.0,0.0,0.0,264.1600341796875,0.0,100000.0,100000.0,0.0,0.0
2015-08-03,183.5217437744141,0.0,100000.0,100000.0,0.0,0.0,274.92010498046875,0.0,100000.0,100000.0,0.0,0.0
2015-08-04,189.6771850585937,0.0,100000.0,100000.0,0.0,0.0,282.3054504394531,0.0,100000.0,100000.0,0.0,0.0
2015-08-05,187.6419219970703,0.0,100000.0,100000.0,0.0,0.0,279.1752319335937,0.0,100000.0,100000.0,0.0,0.0
2015-08-06,188.03903198242188,0.0,100000.0,100000.0,0.0,0.0,282.74560546875,0.0,100000.0,100000.0,0.0,0.0
2015-08-07,183.670654296875,0.0,100000.0,100000.0,0.0,0.0,275.16464233398443,0.0,100000.0,100000.0,0.0,0.0
2015-08-10,180.79150390625,0.0,100000.0,100000.0,0.0,0.0,276.58306884765625,0.0,100000.0,100000.0,0.0,0.0
2015-08-11,176.77059936523438,0.0,100000.0,100000.0,0.0,0.0,262.93728637695307,0.0,100000.0,100000.0,0.0,0.0
2015-08-12,174.78497314453125,-82673.29229736328,182673.29229736328,100000.0,0.0,-1.0,250.75885009765625,67203.37182617188,32796.628173828125,100000.0,0.0,1.0
2015-08-13,175.4799346923828,-83002.00910949707,182673.29229736328,99671.28318786621,-0.003287168121337891,0.0,253.6444854736328,67976.7221069336,32796.628173828125,100773.35028076172,0.0077335028076170875,0.0
2015-08-14,183.0749664306641,-86594.45912170412,182673.29229736328,96078.83317565917,-0.03604297945513346,0.0,262.64382934570307,70388.54626464842,32796.628173828125,103185.17443847655,0.023933154459937267,0.0
2015-08-17,211.2709045410156,-99931.13784790038,182673.29229736328,82742.1544494629,-0.13880974909232147,0.0,273.64849853515625,73337.79760742188,32796.628173828125,106134.42578125,0.02858212295344731,0.0
2015-08-18,211.37017822265625,-99978.0942993164,182673.29229736328,82695.19799804688,-0.0005675033690923925,0.0,278.5883178710937,74661.66918945311,32796.628173828125,107458.29736328124,0.012473536011395892,0.0
2015-08-19,207.25,-98029.25,182673.29229736328,84644.04229736328,0.023566595721343342,0.0,271.9366455078125,72879.02099609375,32796.628173828125,105675.64916992188,-0.016589209368661484,0.0
2015-08-20,199.65496826171875,-94436.79998779297,182673.29229736328,88236.49230957031,0.04244185313818516,0.0,264.64910888671875,70925.96118164062,32796.628173828125,103722.58935546875,-0.01848164482351733,0.0
2015-08-21,198.2153778076172,-93755.87370300293,182673.29229736328,88917.41859436035,0.007717059767075263,0.0,261.6656494140625,70126.39404296875,32796.628173828125,102923.02221679688,-0.0077087078488917715,0.0
2015-08-24,181.28790283203125,-85749.17803955078,182673.29229736328,96924.1142578125,0.09004642498652093,0.0,240.04766845703125,64332.775146484375,32796.628173828125,97129.4033203125,-0.05629079647778612,0.0
2015-08-25,181.3375396728516,-85772.6562652588,182673.29229736328,96900.63603210448,-0.00024223306952875223,0.0,247.8242950439453,66416.91107177734,32796.628173828125,99213.53924560547,0.021457312142852514,0.0
2015-08-26,175.92669677734375,-83213.3275756836,182673.29229736328,99459.96472167969,0.026411887417614688,0.0,240.34112548828125,64411.421630859375,32796.628173828125,97208.0498046875,-0.02021386855228835,0.0
2015-08-27,186.45054626464844,-88191.10838317871,182673.29229736328,94482.18391418457,-0.050048085392192854,0.0,244.00933837890625,65394.502685546875,32796.628173828125,98191.130859375,0.0101131650790518,0.0
2015-08-28,183.8692169189453,-86970.13960266113,182673.29229736328,95703.15269470215,0.012922740880191297,0.0,243.520248413086,65263.426574707046,32796.628173828125,98060.05474853517,-0.0013349078444523377,0.0
2015-08-31,183.4224548339844,-86758.82113647462,182673.29229736328,95914.47116088866,0.002208061701589159,0.0,241.9551544189453,64843.981384277344,32796.628173828125,97640.60955810547,-0.004277431738186621,0.0
2015-09-01,171.26048278808594,-81006.20835876465,182673.29229736328,101667.08393859863,0.05997648434155933,0.0,233.88507080078125,62681.198974609375,32796.628173828125,95477.8271484375,-0.02215043944784989,0.0
2015-09-02,168.2820281982422,-79597.39933776855,182673.29229736328,103075.89295959473,0.013857081037624175,0.0,225.5215606689453,60439.778259277344,32796.628173828125,93236.40643310547,-0.023475824516275834,0.0
2015-09-03,174.3382110595703,-82461.97383117676,182673.29229736328,100211.31846618652,-0.027790925803874433,0.0,227.1844787597656,60885.44030761718,32796.628173828125,93682.06848144531,0.004779914471066515,0.0
2015-09-04,172.99790954589844,-81828.01121520996,182673.29229736328,100845.28108215332,0.006326257609121422,0.0,220.2393341064453,59024.141540527344,32796.628173828125,91820.76971435547,-0.019868250106566454,0.0
2015-09-07,168.5798797607422,-79738.28312683105,182673.29229736328,102935.00917053223,0.020722120717542758,0.0,216.27767944335935,57962.418090820305,32796.628173828125,90759.04626464844,-0.011562998796567858,0.0
2015-09-08,176.42311096191406,-83448.13148498535,182673.29229736328,99225.16081237793,-0.03604068613826228,0.0,223.3695526123047,59863.040100097656,32796.628173828125,92659.66827392578,0.020941405705556138,0.0
2015-09-09,179.30227661132812,-84809.9768371582,182673.29229736328,97863.31546020508,-0.013724798640013525,0.0,226.5975646972656,60728.14733886718,32796.628173828125,93524.77551269531,0.009336394732301967,0.0
2015-09-10,177.66412353515625,-84035.1304321289,182673.29229736328,98638.16186523438,0.007917639019131562,0.0,222.4891662597656,59627.09655761718,32796.628173828125,92423.72473144531,-0.011772824636190005,0.0
2015-09-11,179.99725341796875,-85138.70086669922,182673.29229736328,97534.59143066406,-0.011188067718436168,0.0,225.08139038085935,60321.812622070305,32796.628173828125,93118.44079589844,0.007516642144338448,0.0
2015-09-14,185.2095184326172,-87604.10221862793,182673.29229736328,95069.19007873535,-0.025277199768467096,0.0,230.1190490722656,61671.90515136718,32796.628173828125,94468.53332519531,0.01449865910293835,0.0
2015-09-15,180.2950897216797,-85279.57743835449,182673.29229736328,97393.71485900879,0.024450873919808158,0.0,227.8202972412109,61055.839660644524,32796.628173828125,93852.46783447266,-0.0065213830366344094,0.0
2015-09-16,181.2382659912109,-85725.69981384276,182673.29229736328,96947.59248352052,-0.00458060744611799,0.0,231.6352386474609,62078.243957519524,32796.628173828125,94874.87213134766,0.010893739082899812,0.0
2015-09-18,188.9325714111328,-89365.10627746582,182673.29229736328,93308.18601989746,-0.037539936478997116,0.0,236.72183227539065,63441.451049804695,32796.628173828125,96238.07922363281,0.014368473565876227,0.0
2015-09-21,190.7196502685547,-90210.39457702637,182673.29229736328,92462.89772033691,-0.009059101195904695,0.0,239.90093994140625,64293.451904296875,32796.628173828125,97090.080078125,0.0088530534001241,0.0
2015-09-22,185.5073699951172,-87744.98600769043,182673.29229736328,94928.30628967285,0.026663760601498776,0.0,232.7601623535156,62379.72351074218,32796.628173828125,95176.35168457031,-0.019710854002950473,0.0
2015-09-23,186.89730834960935,-88402.42684936522,182673.29229736328,94270.86544799806,-0.006925656501956534,0.0,234.6187286376953,62877.819274902344,32796.628173828125,95674.44744873047,0.005233398374114184,0.0
2015-09-24,185.0605926513672,-87533.66032409668,182673.29229736328,95139.6319732666,0.009215641769489968,0.0,233.836181640625,62668.0966796875,32796.628173828125,95464.72485351562,-0.00219204396583772,0.0
2015-09-28,182.2310791015625,-86195.30041503906,182673.29229736328,96477.99188232422,0.014067322747618904,0.0,234.2274475097656,62772.95593261718,32796.628173828125,95569.58410644531,0.0010984083711611525,0.0
2015-09-29,185.9044952392578,-87932.82624816895,182673.29229736328,94740.46604919434,-0.018009556368556834,0.0,236.6240081787109,63415.234191894524,32796.628173828125,96211.86236572266,0.006720530023045512,0.0
2015-09-30,181.8835906982422,-86030.93840026855,182673.29229736328,96642.35389709473,0.020074714926067827,0.0,231.97760009765625,62169.996826171875,32796.628173828125,94966.625,-0.012942659409182156,0.0
2015-10-01,179.79869079589844,-85044.78074645996,182673.29229736328,97628.51155090332,0.010204197373531176,0.0,230.021224975586,61645.688293457046,32796.628173828125,94442.31646728517,-0.005520976792792509,0.0
2015-10-05,185.0605926513672,-87533.66032409668,182673.29229736328,95139.6319732666,-0.02549336805507907,0.0,234.7654571533203,62917.142517089844,32796.628173828125,95713.77069091797,0.01346275982200451,0.0
2015-10-06,183.0253295898437,-86570.98089599606,182673.29229736328,96102.31140136722,0.010118595249255513,0.0,234.8632659912109,62943.355285644524,32796.628173828125,95739.98345947266,0.0002738662197243613,0.0
2015-10-07,185.01095581054688,-87510.18209838867,182673.29229736328,95163.11019897461,-0.009772930418604275,0.0,238.238037109375,63847.7939453125,32796.628173828125,96644.42211914062,0.009446822810981859,0.0
2015-10-08,184.56417846679688,-87298.85641479492,182673.29229736328,95374.43588256836,0.0022206681050240817,0.0,237.9934844970703,63782.253845214844,32796.628173828125,96578.88201904297,-0.000678157090296061,0.0
2015-10-09,180.79150390625,-85514.38134765625,182673.29229736328,97158.91094970703,0.018710203112874524,0.0,238.14019775390625,63821.572998046875,32796.628173828125,96618.201171875,0.00040711956910288727,0.0
